#Nite           Exposure        Problem
20190205        820116          Orion
20190205        820117          Orion
20190303        829780          Arcturus
20190304        830079          Arcturus
20190122        814757          NObjects
20190122        814758          NObjects
20190122        814759          NObjects
20190122        814760          NObjects
20190122        814764          NObjects
20190214        823573          NObjects
20190512        857444          NObjects
20190606        862944          NObjects
20190728        879871          NObjects
20181110        793046          NObjects
20190206        820502          Canopus
20180829        767009          NObjects
20180829        767011          NObjects
20181109        792837          NObjects
20181129        797841          NObjects
