#date     expnum ccd id ccdnum
20140328  296596  32 N22  53
20140328  296596  37 N27  58
20140328  296596  38 N26  57
20140328  296597  32 N22  53
20140328  296597  37 N27  58
20140328  296597  38 N26  57
20140328  296728  75 S26   5
20140328  296728  80 S30   2
20140328  296729  75 S26   5
20140328  296729  80 S30   2
20140405  299455  73 S28   7
20140405  299474  73 S28   7
20140405  299622  73 S28   7
20140416  301652  68 S23  11
20140416  301652  73 S28   7
20140416  301652  79 S31   3
20140416  301665  39 N25  56
20140416  301667  12  N6  37
20140416  301667  13  N5  36
20140416  301667  15  N3  34
20140416  301667  16  N2  33
20140416  301667  18 N13  44
20140416  301667  19 N12  43
20140416  301667  20 N11  42
20140416  301667  21 N10  41
20140416  301667  22  N9  40
20140416  301667  25 N18  49
20140416  301667  26 N17  48
20140416  301667  27 N16  47
20140416  301667  28 N15  46
20140416  301667  30 N24  55
20140416  301667  31 N23  54
20140416  301667  32 N22  53
20140416  301667  33 N21  52
20140416  301667  49  S6  30
20140416  301667  50  S5  29
20140416  301667  51  S4  28
20140416  301667  52  S3  27
20140416  301667  56 S12  23
20140416  301667  57 S11  22
20140416  301667  58 S10  21
20140416  301667  59  S9  20
20140416  301667  62 S18  17
20140416  301667  63 S17  16
20140416  301667  64 S16  15
20140416  301671  55 S13  24
20140416  301671  61 S19  18
20140416  301674  19 N12  43
20140416  301674  24 N19  50
20140416  301674  25 N18  49
20140416  301674  30 N24  55
20140420  302958  28 N15  46
20140420  302958  34 N20  51
20140420  302958  39 N25  56
20140420  302959  28 N15  46
20140420  302959  34 N20  51
20140420  302959  39 N25  56
20140420  302960  28 N15  46
20140420  302960  34 N20  51
20140420  302961  34 N20  51
20140420  302961  39 N25  56
20140420  302961  61 S19  18
20140420  302961  62 S18  17
20140420  302961  67 S24  12
20140420  302961  68 S23  11
20140420  302962  34 N20  51
20140420  302962  39 N25  56
20140420  302962  61 S19  18
20140420  302962  62 S18  17
20140420  302962  67 S24  12
20140420  302962  68 S23  11
20140420  302963  34 N20  51
20140420  302963  61 S19  18
20140420  302963  62 S18  17
20140420  302963  67 S24  12
20140420  302963  68 S23  11
20140420  302964  28 N15  46
20140420  302964  34 N20  51
20140420  302965  28 N15  46
20140420  302965  34 N20  51
20140420  302966  28 N15  46
20140420  302966  34 N20  51
20140420  302967  34 N20  51
20140420  302969  34 N20  51
20140420  302970  13  N5  36
20140420  302970  14  N4  35
20140420  302970  15  N3  34
20140420  302970  20 N11  42
20140420  302970  50  S5  29
20140420  302970  51  S4  28
20140420  302970  52  S3  27
20140420  302970  57 S11  22
20140420  302970  58 S10  21
20140420  302971  13  N5  36
20140420  302971  14  N4  35
20140420  302971  15  N3  34
20140420  302971  20 N11  42
20140420  302971  50  S5  29
20140420  302971  51  S4  28
20140420  302971  52  S3  27
20140420  302971  57 S11  22
20140420  302971  58 S10  21
20140420  302972  13  N5  36
20140420  302972  14  N4  35
20140420  302972  15  N3  34
20140420  302972  20 N11  42
20140420  302972  50  S5  29
20140420  302972  51  S4  28
20140420  302972  52  S3  27
20140420  302972  57 S11  22
20140420  302972  58 S10  21
20140420  302976  13  N5  36
20140420  302976  14  N4  35
20140420  302977  13  N5  36
20140420  302977  14  N4  35
20140420  302978  13  N5  36
20140420  302978  14  N4  35
20140420  302979  13  N5  36
20140420  302979  14  N4  35
20140420  302979  20 N11  42
20140420  302979  50  S5  29
20140420  302979  51  S4  28
20140420  302980  13  N5  36
20140420  302980  14  N4  35
20140420  302980  20 N11  42
20140420  302980  50  S5  29
20140420  302980  51  S4  28
20140506  311295  14  N4  35
20140506  311295  51  S4  28
20140506  311296  21 N10  41
20140506  311296  27 N16  47
20140506  311297  15  N3  34
20140506  311297  52  S3  27
20140506  311297  58 S10  21
20140506  311297  59  S9  20
20140506  311298  57 S11  22
20140506  311298  58 S10  21
20140506  311298  63 S17  16
20140506  311298  64 S16  15
20140506  311299  13  N5  36
20140506  311299  50  S5  29
20140506  311299  51  S4  28
20140506  311299  56 S12  23
20140506  311299  57 S11  22
20140506  311300  13  N5  36
20140506  311300  14  N4  35
20140506  311300  19 N12  43
20140506  311300  20 N11  42
20140506  311302  14  N4  35
20140506  311303  21 N10  41
20140506  311303  27 N16  47
20140506  311304  52  S3  27
20140506  311305  57 S11  22
20140506  311305  63 S17  16
20140506  311306  50  S5  29
20140506  311307  13  N5  36
20140506  311307  20 N11  42
20140506  311330  38 N26  57
20140506  311330  43 N30  61
20140506  311330  44 N29  60
20140506  311335  42 N31  62
20140506  311335  43 N30  61
20140506  311354  30 N24  55
20140506  311394  58 S10  21
20140506  311394  64 S16  15
20140506  311395  15  N3  34
20140506  311395  22  N9  40
20140506  311397  13  N5  36
20140506  311397  20 N11  42
20140506  311398  50  S5  29
20140506  311398  51  S4  28
20140506  311587  12  N6  37
20140506  311587  13  N5  36
20140506  311587  14  N4  35
20140506  311587  15  N3  34
20140506  311587  16  N2  33
20140506  311587  19 N12  43
20140506  311587  20 N11  42
20140506  311587  21 N10  41
20140506  311587  22  N9  40
20140506  311587  25 N18  49
20140506  311587  26 N17  48
20140506  311587  27 N16  47
20140506  311587  28 N15  46
20140506  311587  31 N23  54
20140506  311587  32 N22  53
20140506  311587  33 N21  52
20140506  311587  49  S6  30
20140506  311587  50  S5  29
20140506  311587  51  S4  28
20140506  311587  52  S3  27
20140506  311587  53  S2  26
20140506  311587  55 S13  24
20140506  311587  56 S12  23
20140506  311587  57 S11  22
20140506  311587  58 S10  21
20140506  311587  59  S9  20
20140506  311587  62 S18  17
20140506  311587  63 S17  16
20140506  311587  64 S16  15
20140506  311587  65 S15  14
20140506  311587  68 S23  11
20140506  311587  69 S22  10
20140506  311587  70 S21   9
20140506  311587  74 S27   6
20140506  311588  12  N6  37
20140506  311588  13  N5  36
20140506  311588  14  N4  35
20140506  311588  15  N3  34
20140506  311588  16  N2  33
20140506  311588  19 N12  43
20140506  311588  20 N11  42
20140506  311588  21 N10  41
20140506  311588  22  N9  40
20140506  311588  25 N18  49
20140506  311588  26 N17  48
20140506  311588  27 N16  47
20140506  311588  28 N15  46
20140506  311588  31 N23  54
20140506  311588  32 N22  53
20140506  311588  33 N21  52
20140506  311588  49  S6  30
20140506  311588  50  S5  29
20140506  311588  51  S4  28
20140506  311588  52  S3  27
20140506  311588  53  S2  26
20140506  311588  56 S12  23
20140506  311588  57 S11  22
20140506  311588  58 S10  21
20140506  311588  59  S9  20
20140506  311588  62 S18  17
20140506  311588  63 S17  16
20140506  311588  64 S16  15
20140506  311588  65 S15  14
20140506  311588  67 S24  12
20140506  311588  68 S23  11
20140506  311588  69 S22  10
20140506  311588  70 S21   9
20140506  311588  71 S20   8
20140506  311588  73 S28   7
20140506  311588  74 S27   6
20140506  311588  75 S26   5
20140506  311588  79 S31   3
20140506  311588  80 S30   2
20140506  311589  12  N6  37
20140506  311589  13  N5  36
20140506  311589  14  N4  35
20140506  311589  15  N3  34
20140506  311589  16  N2  33
20140506  311589  19 N12  43
20140506  311589  20 N11  42
20140506  311589  21 N10  41
20140506  311589  22  N9  40
20140506  311589  23  N8  39
20140506  311589  25 N18  49
20140506  311589  26 N17  48
20140506  311589  27 N16  47
20140506  311589  28 N15  46
20140506  311589  29 N14  45
20140506  311589  31 N23  54
20140506  311589  32 N22  53
20140506  311589  33 N21  52
20140506  311589  34 N20  51
20140506  311589  49  S6  30
20140506  311589  50  S5  29
20140506  311589  51  S4  28
20140506  311589  52  S3  27
20140506  311589  53  S2  26
20140506  311589  56 S12  23
20140506  311589  57 S11  22
20140506  311589  58 S10  21
20140506  311589  59  S9  20
20140506  311589  60  S8  19
20140506  311589  62 S18  17
20140506  311589  63 S17  16
20140506  311589  64 S16  15
20140506  311589  65 S15  14
20140506  311589  68 S23  11
20140506  311589  69 S22  10
20140506  311589  70 S21   9
20140506  311590  12  N6  37
20140506  311590  13  N5  36
20140506  311590  14  N4  35
20140506  311590  15  N3  34
