#date     expnum ccd id ccdnum
20150801  460364  60  S8  19
20150801  460364  66 S14  13
20150801  460365  51  S4  28
20150801  460365  57 S11  22
20150801  460365  58 S10  21
20150801  460365  63 S17  16
20150801  460365  64 S16  15
20150801  460368  32 N22  53
20150801  460368  38 N26  57
20150801  460368  43 N30  61
20150801  460368  44 N29  60
20150815  464035  51  S4  28
20150815  464035  57 S11  22
20150815  464035  58 S10  21
20150818  465085  60  S8  19
20150818  465085  66 S14  13
20150818  465193  80 S30   2
20150818  465194  80 S30   2
20150818  465214  80 S30   2
20150818  465215  80 S30   2
20150823  466541  60  S8  19
20150823  466541  66 S14  13
20150823  466542  51  S4  28
20150823  466542  57 S11  22
20150823  466542  58 S10  21
20150823  466543  38 N26  57
20150823  466543  43 N30  61
20150823  466543  44 N29  60
20150902  470363  60  S8  19
20150902  470363  66 S14  13
20150902  470376  32 N22  53
20150902  470376  38 N26  57
20150902  470376  43 N30  61
20150902  470376  44 N29  60
20150902  470378  51  S4  28
20150902  470378  57 S11  22
20150902  470378  58 S10  21
20150902  470378  63 S17  16
20150902  470378  64 S16  15
20150902  470379  60  S8  19
20150902  470379  66 S14  13
20150903  470886  67 S24  12
20150903  470886  73 S28   7
20150903  470887  73 S28   7
20150903  470888  67 S24  12
20150903  470888  73 S28   7
20150903  470889  67 S24  12
20150903  470889  73 S28   7
20150903  470890  73 S28   7
20150903  470891  67 S24  12
20150903  470891  73 S28   7
20150903  470892  67 S24  12
20150903  470892  73 S28   7
20150903  470893  39 N25  56
20150903  470893  67 S24  12
20150903  470893  73 S28   7
20150903  470894  67 S24  12
20150903  470894  73 S28   7
20150903  470895  73 S28   7
20150917  475938  66 S14  13
20150917  475938  71 S20   8
20150917  475957  20 N11  42
20150920  476952  20 N11  42
20150920  476957  66 S14  13
20150920  476957  71 S20   8
20151007  482845  20 N11  42
20151007  482856  66 S14  13
20151007  482856  71 S20   8
20151010  483648  14  N4  35
20151010  483648  15  N3  34
20151010  483648  21 N10  41
20151010  483762  32 N22  53
20151010  483762  33 N21  52
20151010  483762  38 N26  57
20151010  483762  43 N30  61
20151010  483762  44 N29  60
20151010  483763  43 N30  61
20151010  483763  44 N29  60
20151010  483816  32 N22  53
20151010  483816  33 N21  52
20151010  483816  38 N26  57
20151010  483816  43 N30  61
20151010  483816  44 N29  60
20151010  483816  68 S23  11
20151010  483816  69 S22  10
20151010  483816  74 S27   6
20151010  483816  75 S26   5
20151127  497133  31 N23  54
20151127  497133  36 N28  59
20151127  497133  42 N31  62
20151127  497133  65 S15  14
20151127  497133  70 S21   9
20151127  497133  71 S20   8
20151127  497133  75 S26   5
20151127  497192  25 N18  49
20151127  497192  31 N23  54
20151127  497229  25 N18  49
20151127  497229  30 N24  55
20151127  497260  29 N14  45
20151127  497260  34 N20  51
20151226  505969  67 S24  12
20151226  505969  73 S28   7
20151226  505970  38 N26  57
20151226  505970  39 N25  56
20151226  505970  44 N29  60
20151226  505971  19 N12  43
20151226  505971  24 N19  50
20151226  505971  25 N18  49
20151226  505971  30 N24  55
20151226  505971  31 N23  54
20151226  505971  52  S3  27
20151226  505971  58 S10  21
20151226  505971  59  S9  20
20151226  505971  64 S16  15
20151226  505971  65 S15  14
20151226  505977  36 N28  59
20151226  505977  37 N27  58
20151226  505977  42 N31  62
20160107  509125  63 S17  16
20160107  509149  64 S16  15
20160108  509516  65 S15  14
20160108  509516  71 S20   8
20160108  509517  65 S15  14
20160108  509517  71 S20   8
20160109  509798  59  S9  20
20160109  509798  65 S15  14
20160109  509815  16  N2  33
20160109  509815  53  S2  26
20160109  509817  27 N16  47
20160109  509817  32 N22  53
20160109  509818  32 N22  53
20160109  509887  75 S26   5
20160109  509887  80 S30   2
20160109  509887  81 S29   1
20160109  509888  75 S26   5
20160109  509888  80 S30   2
20160109  509888  81 S29   1
20160109  509900  60  S8  19
20160109  509900  66 S14  13
20160110  510265  20 N11  42
20160110  510265  26 N17  48
20160110  510276  56 S12  23
20160110  510276  62 S18  17
20160114  511511  11  N7  38
20160114  511511  12  N6  37
20160114  511511  18 N13  44
20160114  511513  16  N2  33
20160114  511513  22  N9  40
20160114  511513  23  N8  39
20160114  511513  53  S2  26
20160114  511514  15  N3  34
20160114  511514  16  N2  33
20160114  511514  17  N1  32
20160114  511514  22  N9  40
20160114  511514  23  N8  39
20160114  511514  53  S2  26
20160114  511545  60  S8  19
20160114  511545  66 S14  13
20160114  511546  60  S8  19
20160114  511546  66 S14  13
20160114  511546  71 S20   8
20160116  512243  22  N9  40
20160116  512243  28 N15  46
20160116  512253  20 N11  42
20160116  512253  26 N17  48
20160118  513123  26 N17  48
20160118  513123  27 N16  47
20160118  513123  32 N22  53
20160118  513123  33 N21  52
20160118  513123  63 S17  16
20160118  513123  69 S22  10
20160118  513123  74 S27   6
20160118  513123  75 S26   5
20160118  513124  26 N17  48
20160118  513124  27 N16  47
20160118  513124  32 N22  53
20160118  513124  33 N21  52
20160118  513124  63 S17  16
20160118  513124  69 S22  10
20160118  513124  74 S27   6
20160118  513124  75 S26   5
20160118  513125  26 N17  48
20160118  513125  27 N16  47
20160118  513125  32 N22  53
20160118  513125  33 N21  52
20160118  513125  63 S17  16
20160118  513125  69 S22  10
20160118  513125  74 S27   6
20160118  513125  75 S26   5
20160118  513126  26 N17  48
20160118  513126  27 N16  47
20160118  513126  32 N22  53
20160118  513126  33 N21  52
20160118  513126  63 S17  16
20160118  513126  69 S22  10
20160118  513126  74 S27   6
20160118  513126  75 S26   5
20160118  513127  26 N17  48
20160118  513127  27 N16  47
20160118  513127  32 N22  53
20160118  513127  33 N21  52
20160118  513127  38 N26  57
20160118  513127  63 S17  16
20160118  513127  68 S23  11
20160118  513127  69 S22  10
20160118  513127  74 S27   6
20160118  513128  26 N17  48
20160118  513128  27 N16  47
20160118  513128  32 N22  53
20160118  513128  37 N27  58
20160118  513128  38 N26  57
20160118  513128  63 S17  16
20160118  513128  68 S23  11
20160118  513128  69 S22  10
20160118  513128  74 S27   6
20160118  513129  26 N17  48
20160118  513129  31 N23  54
20160118  513129  32 N22  53
20160118  513129  37 N27  58
20160118  513129  38 N26  57
20160118  513129  63 S17  16
20160118  513129  68 S23  11
20160118  513129  69 S22  10
20160118  513130  31 N23  54
20160118  513130  32 N22  53
20160118  513130  37 N27  58
20160118  513130  62 S18  17
20160118  513130  63 S17  16
20160118  513130  68 S23  11
20160118  513130  69 S22  10
20160118  513131  26 N17  48
20160118  513131  31 N23  54
20160118  513131  32 N22  53
20160118  513131  37 N27  58
20160118  513131  63 S17  16
20160118  513131  68 S23  11
20160118  513131  69 S22  10
20160118  513131  74 S27   6
20160118  513132  26 N17  48
20160118  513132  27 N16  47
20160118  513132  31 N23  54
20160118  513132  32 N22  53
20160118  513132  68 S23  11
20160118  513132  69 S22  10
20160118  513132  73 S28   7
20160118  513132  74 S27   6
20160118  513133  20 N11  42
20160118  513133  21 N10  41
20160118  513133  26 N17  48
20160118  513133  27 N16  47
20160118  513133  68 S23  11
20160118  513133  69 S22  10
20160118  513133  74 S27   6
20160118  513133  79 S31   3
20160118  513133  80 S30   2
20160118  513134  20 N11  42
20160118  513134  21 N10  41
20160118  513134  26 N17  48
20160118  513134  27 N16  47
20160118  513134  74 S27   6
20160118  513134  79 S31   3
20160118  513134  80 S30   2
20160118  513135  20 N11  42
20160118  513135  21 N10  41
20160118  513135  26 N17  48
20160118  513135  27 N16  47
20160118  513135  74 S27   6
20160118  513135  75 S26   5
20160118  513135  79 S31   3
20160118  513135  80 S30   2
20160118  513136  14  N4  35
20160118  513136  15  N3  34
20160118  513136  21 N10  41
20160118  513136  27 N16  47
20160118  513136  74 S27   6
20160118  513136  75 S26   5
20160118  513136  80 S30   2
20160118  513137  14  N4  35
20160118  513137  15  N3  34
20160118  513137  21 N10  41
20160118  513137  22  N9  40
20160118  513138  15  N3  34
20160118  513138  21 N10  41
20160118  513138  22  N9  40
20160118  513138  75 S26   5
20160118  513138  80 S30   2
20160118  513139  21 N10  41
20160118  513139  22  N9  40
20160118  513139  27 N16  47
20160118  513139  28 N15  46
20160118  513139  75 S26   5
20160118  513139  80 S30   2
20160118  513140  69 S22  10
20160118  513140  70 S21   9
20160118  513140  75 S26   5
20160118  513140  80 S30   2
20160118  513141  27 N16  47
20160118  513141  28 N15  46
20160118  513141  32 N22  53
20160118  513141  33 N21  52
20160118  513141  69 S22  10
20160118  513141  70 S21   9
20160118  513141  74 S27   6
20160118  513141  75 S26   5
20160118  513142  27 N16  47
20160118  513142  32 N22  53
20160118  513142  33 N21  52
20160118  513142  64 S16  15
20160118  513142  69 S22  10
20160118  513142  70 S21   9
20160118  513142  74 S27   6
20160118  513142  75 S26   5
20160118  513143  27 N16  47
20160118  513143  32 N22  53
20160118  513143  69 S22  10
20160118  513143  74 S27   6
20160118  513143  75 S26   5
20160118  513144  27 N16  47
20160118  513144  32 N22  53
20160118  513144  69 S22  10
20160118  513144  74 S27   6
20160118  513144  75 S26   5
20160118  513145  27 N16  47
20160118  513145  32 N22  53
20160118  513145  69 S22  10
20160118  513145  74 S27   6
20160118  513145  75 S26   5
20160118  513146  27 N16  47
20160118  513146  32 N22  53
20160118  513146  69 S22  10
20160118  513146  74 S27   6
20160118  513146  75 S26   5
20160118  513147  32 N22  53
20160118  513147  69 S22  10
20160118  513148  32 N22  53
20160118  513148  68 S23  11
20160118  513148  69 S22  10
20160118  513149  32 N22  53
20160118  513149  37 N27  58
20160118  513149  63 S17  16
20160118  513149  68 S23  11
20160118  513149  69 S22  10
20160118  513150  31 N23  54
20160118  513150  32 N22  53
20160118  513150  37 N27  58
20160118  513150  63 S17  16
20160118  513150  68 S23  11
20160118  513151  32 N22  53
20160118  513151  68 S23  11
20160118  513152  26 N17  48
20160118  513152  32 N22  53
20160118  513152  68 S23  11
20160118  513152  69 S22  10
20160118  513152  74 S27   6
20160118  513153  26 N17  48
20160118  513153  27 N16  47
20160118  513153  74 S27   6
20160118  513153  79 S31   3
20160118  513154  20 N11  42
20160118  513154  21 N10  41
