#Nite           Exposure        Problem
20180906        769981          Telescope Moving
20190205        820116          Orion Nebula 
20190205        820117          Orion Nebula 
20190303        829780          Arcturus
20190304        830079          Arcturus
20190122        814757          NObjects
20190122        814758          NObjects
20190122        814759          NObjects
20190122        814760          NObjects
20190122        814764          NObjects
20190214        823573          NObjects
20190512        857444          NObjects
20190606        862944          NObjects
20190728        879871          NObjects
20181110        793046          NObjects
20190206        820502          Canopus
20180810        764228          Ghosting
20180811        764787          Ghosting
20180829        767009          NObjects
20180829        767011          NObjects
20180902        768370          Ghosting
20180903        768721          Ghosting
20180908        771074          Ghosting
20181101        789974          Ghosting
20181102        790292          Ghosting
20181109        792837          NObjects
20181129        797841          NObjects
20181129        797851          Bad Astrometry
20181209        801592          Ghosting
20190208        821262          Ghosting
20180809        763746          NObjects
20180810        764228          Ghosting
20180921        776286          Ghosting
#20190331        844998          Rho Ophiuchi
20181004        780739          Ghosting
20181101        789988          Ghosting
20181104        790944          Ghosting
20190101        808249          Sky Background
20190102        808551          Sky Background
20190627        868123          High Wind
