#Nite           Exposure        Problem
20201025        948804          Flame Nebula
20201025        948871          Flame Nebula
20201118        955742          Flame Nebula
20201119        956023          NObjects
20201119        956059          Orion Nebula
20201119        956063          Flame Nebula
20201121        956767          Flame Nebula
20201121        956768          Flame Nebula
20210205        963888          Flame Nebula
20210425        989307          Wonky
20201024        948472          Rigel 
20201118        955650          Ghosting
20201118        955704          Rigel 
20201118        955723          Rigel 
20201119        955993          Rigel 
20201119        955994          Rigel 
20201120        956325          NObjects
20201120        956326          NObjects
20201120        956327          NObjects
20201120        956328          NObjects
20201121        956765          Orion Nebula
20201121        956767          Flame Nebula
20201121        956768          Flame Nebula
20210524        1001060         Ghosting
20210125        960160          Wonky
20210425        989237          Wonky
20210425        989239          Wonky
20210425        989240          Wonky
20210425        989245          Wonky
20210425        989246          Wonky
20210201        962769          Hexapod Update 
20210201        962774          Hexapod Update 
20210201        962779          Hexapod Update
20210205        963863          Dome Obscuration
20210205        963868          Hexapod Update 
20210205        963873          Hexapod Update 
20210205        963878          Hexapod Update 
20210205        963889          Hexapod Update
20210219        966606          Telescope Tracking 
20210219        966607          Telescope Tracking 
20210219        966608          Telescope Tracking 
20210219        966609          Telescope Tracking 
20210219        966610          Telescope Tracking 
20210219        966611          Telescope Tracking 
20210219        966612          Telescope Tracking 
20210219        966613          Telescope Tracking 
20210219        966614          Telescope Tracking 
20210219        966615          Telescope Tracking 
20210219        966616          Telescope Tracking 
20210219        966617          Telescope Tracking 
20210219        966618          Telescope Tracking 
20210219        966619          Telescope Tracking 
20210219        966620          Telescope Tracking 
20210219        966622          Telescope Tracking 
20210219        966628          Telescope Tracking 
20210219        966630          Telescope Tracking 
20210219        966631          Telescope Tracking 
20210219        966633          Telescope Tracking 
20210219        966634          Telescope Tracking 
20210219        966635          Telescope Tracking 
20210219        966636          Telescope Tracking 
20210219        966637          Telescope Tracking 
20210219        966638          Telescope Tracking 
20210219        966639          Telescope Tracking 
20210219        966640          Telescope Tracking 
20210219        966641          Telescope Tracking 
20210219        966642          Telescope Tracking 
20210219        966643          Telescope Tracking 
20210219        966644          Telescope Tracking 
20210219        966645          Telescope Tracking 
20220207        1078687         Power Outage
