#date     expnum ccd id ccdnum
#select nite || ' ' || expnum || ' nan N15  46' as lightbulb from exposure 
# where expnum >= 694884 and expnum <= 698401 and obstype = 'object' order by expnum asc;
20171110 695107 nan N15  46
20171110 695108 nan N15  46
20171110 695109 nan N15  46
20171110 695110 nan N15  46
20171110 695111 nan N15  46
20171110 695112 nan N15  46
20171110 695113 nan N15  46
20171110 695114 nan N15  46
20171110 695115 nan N15  46
20171110 695116 nan N15  46
20171110 695117 nan N15  46
20171110 695118 nan N15  46
20171110 695119 nan N15  46
20171110 695120 nan N15  46
20171110 695121 nan N15  46
20171110 695122 nan N15  46
20171110 695123 nan N15  46
20171110 695124 nan N15  46
20171110 695125 nan N15  46
20171110 695126 nan N15  46
20171110 695127 nan N15  46
20171110 695128 nan N15  46
20171110 695129 nan N15  46
20171110 695130 nan N15  46
20171110 695131 nan N15  46
20171110 695132 nan N15  46
20171110 695133 nan N15  46
20171110 695134 nan N15  46
20171110 695135 nan N15  46
20171110 695136 nan N15  46
20171110 695137 nan N15  46
20171110 695138 nan N15  46
20171110 695139 nan N15  46
20171110 695140 nan N15  46
20171110 695141 nan N15  46
20171110 695142 nan N15  46
20171110 695143 nan N15  46
20171110 695144 nan N15  46
20171110 695145 nan N15  46
20171110 695146 nan N15  46
20171110 695147 nan N15  46
20171110 695148 nan N15  46
20171110 695149 nan N15  46
20171110 695150 nan N15  46
20171110 695151 nan N15  46
20171110 695152 nan N15  46
20171110 695153 nan N15  46
20171110 695154 nan N15  46
20171110 695155 nan N15  46
20171111 695264 nan N15  46
20171111 695265 nan N15  46
20171111 695266 nan N15  46
20171111 695267 nan N15  46
20171111 695268 nan N15  46
20171111 695269 nan N15  46
20171111 695270 nan N15  46
20171111 695271 nan N15  46
20171111 695272 nan N15  46
20171111 695273 nan N15  46
20171111 695274 nan N15  46
20171111 695275 nan N15  46
20171111 695276 nan N15  46
20171111 695277 nan N15  46
20171111 695278 nan N15  46
20171111 695279 nan N15  46
20171111 695280 nan N15  46
20171111 695281 nan N15  46
20171111 695282 nan N15  46
20171111 695283 nan N15  46
20171111 695284 nan N15  46
20171111 695285 nan N15  46
20171111 695286 nan N15  46
20171111 695287 nan N15  46
20171111 695288 nan N15  46
20171111 695289 nan N15  46
20171111 695290 nan N15  46
20171111 695291 nan N15  46
20171111 695292 nan N15  46
20171111 695293 nan N15  46
20171111 695294 nan N15  46
20171111 695295 nan N15  46
20171111 695296 nan N15  46
20171111 695297 nan N15  46
20171111 695298 nan N15  46
20171111 695299 nan N15  46
20171111 695300 nan N15  46
20171111 695301 nan N15  46
20171111 695302 nan N15  46
20171111 695303 nan N15  46
20171111 695304 nan N15  46
20171111 695305 nan N15  46
20171111 695306 nan N15  46
20171111 695307 nan N15  46
20171111 695308 nan N15  46
20171111 695309 nan N15  46
20171111 695310 nan N15  46
20171111 695311 nan N15  46
20171111 695312 nan N15  46
20171111 695313 nan N15  46
20171111 695314 nan N15  46
20171111 695315 nan N15  46
20171111 695316 nan N15  46
20171111 695317 nan N15  46
20171111 695318 nan N15  46
20171111 695319 nan N15  46
20171111 695320 nan N15  46
20171111 695321 nan N15  46
20171111 695322 nan N15  46
20171111 695323 nan N15  46
20171111 695324 nan N15  46
20171111 695325 nan N15  46
20171111 695326 nan N15  46
20171111 695327 nan N15  46
20171111 695328 nan N15  46
20171111 695329 nan N15  46
20171111 695330 nan N15  46
20171111 695331 nan N15  46
20171111 695332 nan N15  46
20171111 695333 nan N15  46
20171111 695334 nan N15  46
20171111 695335 nan N15  46
20171111 695336 nan N15  46
20171111 695337 nan N15  46
20171111 695338 nan N15  46
20171111 695339 nan N15  46
20171111 695340 nan N15  46
20171111 695341 nan N15  46
20171111 695342 nan N15  46
20171111 695343 nan N15  46
20171111 695344 nan N15  46
20171111 695345 nan N15  46
20171111 695346 nan N15  46
20171111 695347 nan N15  46
20171111 695348 nan N15  46
20171111 695349 nan N15  46
20171111 695350 nan N15  46
20171111 695351 nan N15  46
20171111 695352 nan N15  46
20171111 695353 nan N15  46
20171111 695354 nan N15  46
20171111 695355 nan N15  46
20171111 695356 nan N15  46
20171111 695357 nan N15  46
20171111 695358 nan N15  46
20171111 695359 nan N15  46
20171111 695360 nan N15  46
20171111 695361 nan N15  46
20171111 695362 nan N15  46
20171111 695363 nan N15  46
20171111 695364 nan N15  46
20171111 695365 nan N15  46
20171111 695366 nan N15  46
20171111 695367 nan N15  46
20171111 695368 nan N15  46
20171111 695369 nan N15  46
20171111 695370 nan N15  46
20171111 695371 nan N15  46
20171111 695372 nan N15  46
20171111 695373 nan N15  46
20171111 695374 nan N15  46
20171111 695375 nan N15  46
20171111 695376 nan N15  46
20171111 695377 nan N15  46
20171111 695378 nan N15  46
20171111 695379 nan N15  46
20171111 695380 nan N15  46
20171111 695381 nan N15  46
20171111 695382 nan N15  46
20171111 695383 nan N15  46
20171111 695384 nan N15  46
20171111 695385 nan N15  46
20171111 695386 nan N15  46
20171111 695387 nan N15  46
20171111 695388 nan N15  46
20171111 695389 nan N15  46
20171111 695390 nan N15  46
20171111 695391 nan N15  46
20171111 695392 nan N15  46
20171111 695393 nan N15  46
20171111 695394 nan N15  46
20171111 695395 nan N15  46
20171111 695396 nan N15  46
20171111 695397 nan N15  46
20171111 695398 nan N15  46
20171111 695399 nan N15  46
20171111 695400 nan N15  46
20171111 695401 nan N15  46
20171111 695402 nan N15  46
20171111 695403 nan N15  46
20171111 695404 nan N15  46
20171111 695405 nan N15  46
20171111 695406 nan N15  46
20171111 695407 nan N15  46
20171111 695408 nan N15  46
20171111 695409 nan N15  46
20171111 695410 nan N15  46
20171111 695411 nan N15  46
20171111 695412 nan N15  46
20171111 695413 nan N15  46
20171111 695414 nan N15  46
20171111 695415 nan N15  46
20171111 695416 nan N15  46
20171111 695417 nan N15  46
20171111 695418 nan N15  46
20171111 695419 nan N15  46
20171111 695420 nan N15  46
20171111 695421 nan N15  46
20171111 695422 nan N15  46
20171111 695423 nan N15  46
20171111 695424 nan N15  46
20171111 695425 nan N15  46
20171111 695426 nan N15  46
20171111 695427 nan N15  46
20171111 695428 nan N15  46
20171111 695429 nan N15  46
20171111 695430 nan N15  46
20171111 695431 nan N15  46
20171111 695432 nan N15  46
20171111 695433 nan N15  46
20171111 695434 nan N15  46
20171111 695435 nan N15  46
20171111 695436 nan N15  46
20171111 695437 nan N15  46
20171111 695438 nan N15  46
20171111 695439 nan N15  46
20171111 695440 nan N15  46
20171111 695441 nan N15  46
20171111 695442 nan N15  46
20171111 695443 nan N15  46
20171111 695444 nan N15  46
20171111 695445 nan N15  46
20171111 695446 nan N15  46
20171111 695447 nan N15  46
20171111 695448 nan N15  46
20171111 695449 nan N15  46
20171111 695450 nan N15  46
20171111 695451 nan N15  46
20171111 695452 nan N15  46
20171111 695453 nan N15  46
20171111 695454 nan N15  46
20171111 695455 nan N15  46
20171111 695456 nan N15  46
20171111 695457 nan N15  46
20171111 695458 nan N15  46
20171111 695459 nan N15  46
20171111 695460 nan N15  46
20171111 695461 nan N15  46
20171111 695462 nan N15  46
20171111 695463 nan N15  46
20171111 695464 nan N15  46
20171111 695465 nan N15  46
20171111 695466 nan N15  46
20171111 695467 nan N15  46
20171111 695468 nan N15  46
20171111 695469 nan N15  46
20171111 695470 nan N15  46
20171111 695471 nan N15  46
20171111 695472 nan N15  46
20171111 695473 nan N15  46
20171111 695474 nan N15  46
20171111 695475 nan N15  46
20171111 695476 nan N15  46
20171111 695477 nan N15  46
20171111 695478 nan N15  46
20171111 695479 nan N15  46
20171111 695480 nan N15  46
20171111 695481 nan N15  46
20171111 695482 nan N15  46
20171111 695483 nan N15  46
20171111 695484 nan N15  46
20171111 695485 nan N15  46
20171112 695593 nan N15  46
20171112 695594 nan N15  46
20171112 695595 nan N15  46
20171112 695596 nan N15  46
20171112 695597 nan N15  46
20171112 695598 nan N15  46
20171112 695599 nan N15  46
20171112 695600 nan N15  46
20171112 695601 nan N15  46
20171112 695602 nan N15  46
20171112 695603 nan N15  46
20171112 695604 nan N15  46
20171112 695605 nan N15  46
20171112 695606 nan N15  46
20171112 695607 nan N15  46
20171112 695608 nan N15  46
20171112 695609 nan N15  46
20171112 695610 nan N15  46
20171112 695611 nan N15  46
20171112 695612 nan N15  46
20171112 695613 nan N15  46
20171112 695614 nan N15  46
20171112 695615 nan N15  46
20171112 695616 nan N15  46
20171112 695617 nan N15  46
20171112 695618 nan N15  46
20171112 695619 nan N15  46
20171112 695620 nan N15  46
20171112 695621 nan N15  46
20171112 695622 nan N15  46
20171112 695623 nan N15  46
20171112 695624 nan N15  46
20171112 695625 nan N15  46
20171112 695626 nan N15  46
20171112 695627 nan N15  46
20171112 695628 nan N15  46
20171112 695629 nan N15  46
20171112 695630 nan N15  46
20171112 695631 nan N15  46
20171112 695632 nan N15  46
20171112 695633 nan N15  46
20171112 695634 nan N15  46
20171112 695635 nan N15  46
20171112 695636 nan N15  46
20171112 695637 nan N15  46
20171112 695638 nan N15  46
20171112 695639 nan N15  46
20171112 695640 nan N15  46
20171112 695641 nan N15  46
20171112 695642 nan N15  46
20171112 695643 nan N15  46
20171112 695644 nan N15  46
20171112 695645 nan N15  46
20171112 695646 nan N15  46
20171112 695647 nan N15  46
20171112 695648 nan N15  46
20171112 695649 nan N15  46
20171112 695650 nan N15  46
20171112 695651 nan N15  46
20171112 695652 nan N15  46
20171112 695653 nan N15  46
20171112 695654 nan N15  46
20171112 695655 nan N15  46
20171112 695656 nan N15  46
20171112 695657 nan N15  46
20171112 695658 nan N15  46
20171112 695659 nan N15  46
20171112 695660 nan N15  46
20171112 695661 nan N15  46
20171112 695662 nan N15  46
20171112 695663 nan N15  46
