#Nite           Exposure        Problem
20121107        148661          Fringing
20121107        148664          Fringing
20121107        148667          Fringing
20121107        148672          Fringing
20121107        148675          Fringing
20121107        148681          Fringing
20121107        148684          Fringing
20121107        148690          Fringing
20130210        177055          Fringing
20130210        177056          Fringing
20130210        177057          Fringing
20130210        177058          Fringing
20130210        177059          Fringing
20130210        177060          Fringing
20130210        177061          Fringing
20130210        177062          Fringing
20130210        177068          Fringing
20130210        177069          Fringing
20130210        177070          Fringing
20130416        197808          Fringing
20130416        197809          Fringing
20130416        197812          Fringing
20130416        197813          Fringing
20130416        197816          Fringing
20130416        197817          Fringing
20130416        197820          Fringing
20130416        197821          Fringing
20130417        198390          Fringing
20130417        198391          Fringing
20130417        198394          Fringing
20130417        198395          Fringing
20130417        198398          Fringing
20130417        198399          Fringing
20130417        198402          Fringing
20130417        198403          Fringing
20130529        206599          Fringing
20130529        206603          Fringing
20130529        206604          Fringing
20130529        206605          Fringing
20130529        206606          Fringing
20130529        206607          Fringing
20130529        206608          Fringing
20121210        160199          Ghosting
20121210        160212          Ghosting
20121210        160228          Ghosting
20130307        184733          Clouds
20130307        184734          Clouds
20130307        184735          Clouds
20130307        184745          Clouds
20130307        184746          Clouds
20130208        176558          Telescope Moving
20130330        192463          Clouds
20130330        192479          Clouds
20130330        192489          Clouds
20130330        192490          Clouds
20130408        195126          Clouds
20130408        195127          Clouds
20130130        173765          NObjects
20130130        173783          NObjects
20130130        173784          NObjects
20130308        185034          NObjects
20130319        187525          NObjects
20130319        187530          NObjects
20130330        192407          NObjects
20140302        289494          NObjects
20130317        187055          NObjects
20121210        160199          Ghosting
20121210        160228          Ghosting
20130606        209637          Telescope Moving
20130420        199985          Ghosting
20130410        195507          Readout
