#date     expnum ccd id ccdnum
20170802  664543  66 S14  13
20170802  664543  71 S20   8
20170802  664543  76 S25   4
20170802  664543  75 S26   5
20170802  664543  80 S30   2
20170802  664544  75 S26   5
20170802  664544  80 S30   2
20170802  664545  42 N31  62
20170802  664546  42 N31  62
20170803  665155  13  N5  36
20170803  665155  19 N12  43
20170803  665156  13  N5  36
20170803  665156  19 N12  43
20170803  665157  13  N5  36
20170803  665157  19 N12  43
20170803  665158  13  N5  36
20170803  665158  19 N12  43
20170804  665330  30 N24  55
20170804  665330  65 S15  14
20170804  665330  66 S14  13
20170804  665330  70 S21   9
20170804  665330  71 S20   8
20170804  665331  25 N18  49
20170804  665331  30 N24  55
20170804  665332  30 N24  55
20170804  665671  13  N5  36
20170804  665671  19 N12  43
20170804  665672  13  N5  36
20170804  665672  19 N12  43
20170804  665673  13  N5  36
20170804  665673  19 N12  43
20170804  665674  13  N5  36
20170804  665674  19 N12  43
20170805  665942  61 S19  18
20170805  665942  62 S18  17
20170805  665942  67 S24  12
20170805  665993  75 S26   5
20170805  665993  80 S30   2
20170805  666008  25 N18  49
20170805  666008  31 N23  54
20170806  666206  37 N27  58
20170806  666206  42 N31  62
20170806  666206  43 N30  61
20170806  666348  29 N14  45
20170815  667673  15  N3  34
20170815  667673  16  N2  33
20170815  667673  21 N10  41
20170815  667673  22  N9  40
20170815  667673  28 N15  46
20170816  667927  24 N19  50
20170816  667928  27 N16  47
20170816  667928  28 N15  46
20170816  667928  33 N21  52
20170816  667929  75 S26   5
20170816  667929  80 S30   2
20170816  667929  81 S29   1
20170816  668089  12  N6  37
20170816  668089  13  N5  36
20170816  668089  19 N12  43
20170816  668089  20 N11  42
20170819  669403  18 N13  44
20170819  669403  19 N12  43
20170819  669403  24 N19  50
20170819  669403  25 N18  49
20170819  669537  15  N3  34
20170819  669537  16  N2  33
20170819  669537  21 N10  41
20170819  669537  22  N9  40
20170819  669537  28 N15  46
20170819  669572  13  N5  36
20170819  669572  19 N12  43
20170819  669572  20 N11  42
20170821  670233  43 N30  61
20170821  670233  44 N29  60
20170822  670837  64 S16  15
20170822  670837  65 S15  14
20170822  670837  69 S22  10
20170822  670837  70 S21   9
20170822  670905  15  N3  34
20170822  670905  16  N2  33
20170822  670905  21 N10  41
20170822  670905  22  N9  40
20170822  670905  28 N15  46
20170822  670940  13  N5  36
20170822  670940  19 N12  43
20170822  670940  20 N11  42
20170823  671216  15  N3  34
20170823  671216  16  N2  33
20170823  671216  21 N10  41
20170823  671216  22  N9  40
20170823  671216  28 N15  46
20170824  671659  15  N3  34
20170824  671659  16  N2  33
20170824  671659  21 N10  41
20170824  671659  22  N9  40
20170824  671659  28 N15  46
20170825  672059  13  N5  36
20170825  672059  19 N12  43
20170825  672059  20 N11  42
20170914  677723  18 N13  44
20170914  677723  19 N12  43
20170914  677723  24 N19  50
20170914  677723  25 N18  49
20170914  677723  30 N24  55
20170914  677787  33 N21  52
20170914  677787  34 N20  51
20170914  677787  39 N25  56
20170915  677952  74 S27   6
20170915  677952  79 S31   3
20170915  677952  80 S30   2
20170915  678079  16  N2  33
20170915  678079  53  S2  26
20170916  678260  73 S28   7
20170916  678260  79 S31   3
20170916  678261  44 N29  60
