#Nite           Exposure        Problem
20180308        728257          Orion Nebula
20180308        728258          Orion Nebula
20180218        723161          Arcturus
20180413        735289          Sky/NObjects
20180413        735362          Sky/NObjects
20180413        735382          Sky/NObjects
20180426        739472          Ghosting
20180522        750133          NObjects
20180522        750134          NObjects
20180522        750135          NObjects
20180723        758320          NObjects 
20180723        758326          NObjects 
20180723        758327          NObjects 
20180723        758328          NObjects 
20180726        759394          NObjects 
20170805        665994          NObjects 
20170806        666293          NObjects 
20170806        666294          NObjects 
20170806        666295          NObjects 
20170806        666296          NObjects 
20170806        666297          NObjects 
20170806        666298          NObjects 
20170806        666299          NObjects 
20170806        666300          NObjects 
20170918        679251          Alnair          
20170926        682166          Achernar
20170926        682170          Achernar
20171213        704959          Canopus
20180107        710300          Gamma Eri
20180121        714186          Canopus
20180122        714474          Canopus
20171127        700731          Canopus
20170830        673710          NObjects
20170907        675756          NObjects
20170907        675760          NObjects
20170907        675762          NObjects
20170907        675763          NObjects
20170926        681945          NObjects
20171128        701005          NObjects
20171128        701006          NObjects
20171128        701007          NObjects
20171205        702105          NObjects
20171211        704268          NObjects
20180723        758330          NObjects
20180313        730116          Ghosting
20180106        710015          Sky Background
20180223        724779          Telescope Moving
